"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,116,12042,11926,1997,81
"AB044824",0,116,12042,11926,2000,81
"AB085828",0,427,12042,11615,2003,2
"AB128149",0,116,12042,11926,2003,81
"AB362483",0,118,12042,11924,2009,62
"AB517659",0,119,12042,11923,2012,105
"AB517660",0,117,12042,11925,2012,62
"AB645847",0,119,12042,11923,2012,3
"AB839169",0,2027,12042,10015,2013,2
"AB839170",0,408,12042,11634,2013,2
"DQ099524",0,331,12042,11711,2005,2
"DQ099525",0,319,12042,11723,2005,64
"DQ875050",0,173,12042,11869,2006,107
"DQ875051",0,179,12042,11863,2006,81
"EF542830",0,110,12042,11932,2008,51
"EU293115",0,119,12042,11923,1991,94
"FJ577895",0,118,12042,11924,2009,2
"GQ412744",0,117,12042,11925,1931,81
"GQ918139",0,115,12042,11927,2010,107
"GU565703",0,117,12042,11925,1948,2
"GU565704",0,117,12042,11925,1948,2
"HM535790",0,115,12042,11927,2010,107
"HQ450386",0,118,12042,11924,2011,65
"HQ891318",0,115,12042,11927,2011,107
"JN234411",0,117,12042,11925,1931,81
"JQ685894",0,119,12042,11923,1994,1
"JQ685899",0,112,12042,11930,2009,2
"JQ685943",0,117,12042,11925,2009,2
"JQ685944",0,117,12042,11925,1984,3
"JQ685967",0,119,12042,11923,2012,3
"JQ685970",0,119,12042,11923,1974,1
"JQ944704",0,119,12042,11923,2009,58
"JQ944705",0,119,12042,11923,2008,23
"JQ944706",0,119,12042,11923,2008,31
"JQ944708",0,128,12042,11914,2008,22
"JQ944709",0,115,12042,11927,2008,64
"JX473838",0,119,12042,11923,2009,77
"JX473839",0,119,12042,11923,2009,77
"JX473840",0,119,12042,11923,2009,77
"JX473841",0,119,12042,11923,2009,77
"KC252633",0,125,12042,11917,2011,99
"KC595280",0,246,12042,11796,2011,98
"KC595281",0,243,12042,11799,2011,98
"KC595282",1,244,12042,11797,2011,98
"KC595283",0,244,12042,11798,2011,98
"KC737850",0,117,12042,11925,2011,105
"KF154997",0,119,12042,11923,2013,96
