"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,116,12042,11926,1997,86
"AB044824",0,116,12042,11926,2000,86
"AB085828",0,427,12042,11615,2003,2
"AB128149",0,116,12042,11926,2003,86
"AB362483",0,118,12042,11924,2009,64
"AB517659",0,119,12042,11923,2012,110
"AB517660",0,117,12042,11925,2012,64
"AB645847",0,119,12042,11923,2012,3
"AB839169",0,2027,12042,10015,2013,2
"AB839170",0,408,12042,11634,2013,2
"DQ099524",0,331,12042,11711,2005,2
"DQ099525",0,319,12042,11723,2005,66
"DQ875050",0,173,12042,11869,2006,112
"DQ875051",0,179,12042,11863,2006,86
"EF542830",0,110,12042,11932,2008,53
"EU293115",0,119,12042,11923,1991,99
"FJ577895",0,118,12042,11924,2009,2
"GQ412744",0,117,12042,11925,1931,86
"GQ918139",0,115,12042,11927,2010,112
"GU565703",0,117,12042,11925,1948,2
"GU565704",0,117,12042,11925,1948,2
"HM535790",0,115,12042,11927,2010,112
"HQ450386",0,118,12042,11924,2011,67
"HQ891318",0,115,12042,11927,2011,112
"JN234411",0,117,12042,11925,1931,86
"JQ685894",0,119,12042,11923,1994,1
"JQ685899",0,112,12042,11930,2009,2
"JQ685943",0,117,12042,11925,2009,2
"JQ685944",0,117,12042,11925,1984,3
"JQ685967",0,119,12042,11923,2012,3
"JQ685970",0,119,12042,11923,1974,1
"JQ944704",0,119,12042,11923,2009,60
"JQ944705",0,119,12042,11923,2008,27
"JQ944706",0,119,12042,11923,2008,34
"JQ944708",0,128,12042,11914,2008,26
"JQ944709",0,115,12042,11927,2008,66
"JX473838",0,119,12042,11923,2009,82
"JX473839",0,119,12042,11923,2009,82
"JX473840",0,119,12042,11923,2009,82
"JX473841",0,119,12042,11923,2009,82
"KC252633",0,125,12042,11917,2011,104
"KC595280",0,246,12042,11796,2011,103
"KC595281",0,243,12042,11799,2011,103
"KC595282",1,244,12042,11797,2011,103
"KC595283",0,244,12042,11798,2011,103
"KC737850",0,117,12042,11925,2011,110
"KF154997",0,119,12042,11923,2013,101
"KF154998",0,118,12042,11924,1950,65
"KF155000",0,119,12042,11923,2010,34
"KF155001",0,116,12042,11926,2009,85
"KF155002",0,119,12042,11923,2010,73
"KM016899",0,119,12042,11923,2014,104
"KM198893",0,110,12042,11932,2014,53
"KM594039",0,161,12042,11881,2009,64
"KP723638",0,116,12042,11926,2014,84
"KP997032",0,169,12042,11873,2014,103
"KR534217",0,119,12042,11923,2008,13
"KR534218",0,119,12042,11923,2008,13
"KR534219",0,119,12042,11923,2007,50
"KR534220",0,119,12042,11923,2008,13
"KR534228",0,128,12042,11914,2010,78
"KR534229",0,193,12042,11849,2010,71
"KR534230",0,157,12042,11885,2010,76
"KR534231",0,158,12042,11884,2010,78
"KR534232",0,119,12042,11923,2011,71
"KR534233",0,119,12042,11923,2011,71
"KR534234",0,119,12042,11923,2011,78
"KR534235",0,119,12042,11923,2011,15
"KR534236",0,119,12042,11923,2011,15
"KR534237",0,119,12042,11923,2011,15
"KR534238",0,175,12042,11867,2011,50
"KR534244",0,128,12042,11914,2011,69
"KR534245",0,119,12042,11923,2011,29
"KR534246",0,119,12042,11923,2011,29
"KR534247",0,119,12042,11923,2011,25
"KR534248",0,119,12042,11923,2011,30
"KR534249",0,125,12042,11917,2011,38
"KR534250",0,119,12042,11923,2011,15
"KR534251",0,119,12042,11923,2011,50
"KR534252",0,119,12042,11923,2011,51
"KR534253",0,120,12042,11922,2011,15
"KR534254",0,119,12042,11923,2011,23
"KR534256",0,121,12042,11921,2011,15
"KR906734",0,119,12042,11923,2008,50
"KR906735",0,139,12042,11903,2008,74
"KR906736",0,119,12042,11923,2008,74
"KR906737",1,122,12042,11919,2008,13
"KR906738",0,119,12042,11923,2004,13
"KR906739",0,119,12042,11923,2004,16
"KR906740",5,128,12042,11909,2009,49
"KR906741",0,119,12042,11923,2003,31
"KR906742",0,119,12042,11923,2009,73
"KR906743",2,128,12042,11912,2010,50
"KR906744",0,128,12042,11914,2010,16
"KR906745",0,128,12042,11914,2010,12
"KR906746",0,167,12042,11875,2010,81
"KR906747",0,119,12042,11923,2010,81
"KR906748",0,119,12042,11923,2010,6
"KR906749",0,164,12042,11878,2010,31
"KR906750",0,188,12042,11854,2010,73
"KR906751",0,127,12042,11915,2011,81
"KR906752",0,119,12042,11923,2011,6
"KR906753",0,120,12042,11922,2011,31
"KR906754",0,177,12042,11865,2011,73
"KR906755",0,119,12042,11923,2011,69
"KR906756",1,119,12042,11922,2011,71
"KR906757",8,152,12042,11882,2010,81
"KR906758",2,217,12042,11823,2010,69
"KR906759",113,213,12042,11716,2010,50
"KR906760",0,122,12042,11920,2010,71
"KR906761",170,197,12042,11675,2010,31
"KR906762",0,128,12042,11914,2010,31
"KR906763",0,122,12042,11920,2010,74
"KR906764",0,128,12042,11914,2010,74
"KR906765",0,119,12042,11923,2010,74
"KR906766",0,128,12042,11914,2010,6
"KR906767",0,128,12042,11914,2011,31
"KR906768",0,164,12042,11878,2011,73
"KR906769",1,119,12042,11922,2011,24
"KR906770",2,128,12042,11912,2011,35
"KR906771",0,119,12042,11923,2011,25
"KR906772",0,119,12042,11923,2011,71
"KR906773",0,119,12042,11923,2011,15
"KR906774",0,121,12042,11921,2011,50
"KR906775",0,188,12042,11854,2011,12
"KR906776",0,119,12042,11923,2011,24
"KR906777",0,119,12042,11923,2011,77
"KR906778",0,128,12042,11914,2011,15
"KR906779",1,122,12042,11919,2012,51
"KR906780",0,122,12042,11920,2011,15
"KR906781",0,119,12042,11923,2012,15
"KR906782",0,123,12042,11919,2012,23
"KR906783",0,119,12042,11923,2012,13
"KR906784",0,119,12042,11923,2012,35
"KR906785",0,120,12042,11922,2012,78
"KR906786",0,119,12042,11923,2012,13
"KR906787",0,119,12042,11923,2012,42
"KR906788",1,123,12042,11918,2012,72
"KR906789",0,119,12042,11923,2012,75
"KR906790",0,119,12042,11923,2012,79
"KR906791",804,168,12042,11070,2012,50
"KR906792",0,119,12042,11923,2012,72
"KT006769",0,120,12042,11922,2013,113
"KT336432",0,119,12042,11923,2012,80
"KT336433",0,119,12042,11923,1991,6
"KT336434",0,119,12042,11923,1992,81
"KT336435",0,119,12042,11923,1993,80
"KT336436",0,119,12042,11923,2012,80
"KT336437",0,119,12042,11923,2012,80
"KT728348",0,169,12042,11873,2003,37
"KT728349",0,169,12042,11873,2003,37
"KX148101",0,119,12042,11923,1979,65
"KX148102",0,120,12042,11922,1991,113
"KX148103",0,120,12042,11922,1981,6
"KX148104",0,119,12042,11923,1978,4
"KX148110",0,240,12042,11802,1991,113
"KX148111",0,240,12042,11802,1991,113
"KX148112",0,240,12042,11802,1991,2
"KX148113",0,240,12042,11802,1991,58
"KX148114",0,240,12042,11802,1995,58
"KX148115",0,240,12042,11802,1996,97
"KX148116",0,240,12042,11802,1996,97
"KX148117",0,240,12042,11802,1997,97
"KX148118",0,239,12042,11803,1994,11
"KX148119",0,242,12042,11800,1993,98
"KX148120",0,242,12042,11800,1993,98
"KX148121",0,242,12042,11800,1993,98
"KX148122",0,241,12042,11801,1991,98
"KX148123",0,241,12042,11801,1991,98
"KX148124",0,241,12042,11801,1991,98
"KX148125",0,241,12042,11801,1994,99
"KX148126",0,241,12042,11801,1996,99
"KX148127",0,241,12042,11801,1991,99
"KX148128",0,241,12042,11801,1992,99
"KX148129",0,241,12042,11801,1994,11
"KX148130",0,241,12042,11801,1994,11
"KX148131",0,241,12042,11801,1994,11
"KX148132",0,241,12042,11801,1994,11
"KX148133",0,241,12042,11801,1986,11
"KX148134",0,241,12042,11801,1994,11
"KX148135",0,241,12042,11801,1991,11
"KX148136",0,242,12042,11800,1993,100
"KX148137",0,242,12042,11800,1993,100
"KX148138",0,241,12042,11801,1993,100
"KX148139",0,242,12042,11800,1993,100
"KX148140",0,241,12042,11801,1986,100
"KX148141",0,241,12042,11801,1992,59
"KX148142",0,241,12042,11801,1994,59
"KX148143",0,240,12042,11802,1993,11
"KX148144",0,241,12042,11801,1994,45
"KX148145",0,241,12042,11801,1986,45
"KX148146",0,241,12042,11801,1993,46
"KX148147",0,241,12042,11801,1988,46
"KX148148",0,241,12042,11801,1992,101
"KX148149",0,241,12042,11801,1991,101
"KX148150",0,241,12042,11801,1986,60
"KX148151",0,241,12042,11801,1996,36
"KX148152",0,240,12042,11802,1996,36
"KX148153",0,241,12042,11801,1996,36
"KX148154",0,241,12042,11801,1997,36
"KX148155",0,241,12042,11801,1993,33
"KX148156",0,240,12042,11802,1991,33
"KX148157",0,241,12042,11801,1993,33
"KX148158",0,241,12042,11801,1993,33
"KX148159",0,241,12042,11801,1974,39
"KX148160",0,241,12042,11801,1991,26
"KX148161",0,241,12042,11801,1972,9
"KX148162",0,241,12042,11801,1993,108
"KX148163",0,241,12042,11801,1993,108
"KX148164",0,241,12042,11801,1993,108
"KX148165",0,240,12042,11802,1993,108
"KX148166",0,241,12042,11801,1993,108
"KX148167",0,241,12042,11801,1993,62
"KX148168",0,241,12042,11801,1987,10
"KX148169",0,241,12042,11801,1990,10
"KX148170",0,241,12042,11801,1990,10
"KX148171",0,241,12042,11801,1991,10
"KX148172",0,241,12042,11801,1987,10
"KX148173",0,241,12042,11801,1997,10
"KX148174",0,241,12042,11801,1998,10
"KX148175",0,241,12042,11801,1998,10
"KX148176",0,241,12042,11801,2004,10
"KX148177",0,241,12042,11801,1996,95
"KX148178",0,241,12042,11801,1996,95
"KX148179",0,241,12042,11801,1996,95
"KX148180",0,241,12042,11801,1993,95
"KX148181",0,241,12042,11801,1996,95
"KX148182",0,241,12042,11801,1996,95
